end,Revenues,CapEx,R&D,Ticker,Sector,CapEx_intensity,R&D_intensity,US_Total_CapEx_Millions
2018-03-31,2636000000.0,177000000.0,462000000.0,NVDA,semiconductor,0.0671471927162367,0.1752655538694992,5715435.0
2018-06-30,3207000000.0,118000000.0,542000000.0,NVDA,semiconductor,0.036794512004989,0.1690053009042719,5755903.0
2018-09-30,6330000000.0,247000000.0,1124000000.0,NVDA,semiconductor,0.0390205371248025,0.1775671406003159,5894057.0
2018-12-31,3181000000.0,397000000.0,605000000.0,NVDA,semiconductor,0.1248035209053756,0.1901917635963533,5905297.0
2019-03-31,3181000000.0,397000000.0,605000000.0,NVDA,semiconductor,0.1248035209053756,0.1901917635963533,5975893.0
2019-06-30,2220000000.0,128000000.0,674000000.0,NVDA,semiconductor,0.0576576576576576,0.3036036036036036,6064499.0
2019-09-30,2579000000.0,241000000.0,704000000.0,NVDA,semiconductor,0.0934470725087243,0.2729740209383482,6137987.0
2019-12-31,3014000000.0,344000000.0,712000000.0,NVDA,semiconductor,0.1141340411413404,0.2362309223623092,6087481.0
2020-03-31,3014000000.0,344000000.0,712000000.0,NVDA,semiconductor,0.1141340411413404,0.2362309223623092,5992472.0
2020-06-30,3080000000.0,155000000.0,735000000.0,NVDA,semiconductor,0.0503246753246753,0.2386363636363636,5447396.0
2020-09-30,3866000000.0,372000000.0,997000000.0,NVDA,semiconductor,0.0962234868080703,0.2578892912571133,6358582.0
2020-12-31,4726000000.0,372000000.0,1047000000.0,NVDA,semiconductor,0.0787134997884045,0.2215404147270419,6551112.0
2021-03-31,4726000000.0,372000000.0,1047000000.0,NVDA,semiconductor,0.0787134997884045,0.2215404147270419,6645978.0
2021-06-30,5661000000.0,372000000.0,1153000000.0,NVDA,semiconductor,0.0657127715951245,0.2036742624977919,6767112.0
2021-09-30,12168000000.0,372000000.0,2398000000.0,NVDA,semiconductor,0.0305719921104536,0.1970742932281393,6897278.0
2021-12-31,19271000000.0,372000000.0,3802000000.0,NVDA,semiconductor,0.0193036168335841,0.1972912666701261,7350034.0
2022-03-31,19271000000.0,372000000.0,3802000000.0,NVDA,semiconductor,0.0193036168335841,0.1972912666701261,7598204.0
2022-06-30,8288000000.0,372000000.0,1618000000.0,NVDA,semiconductor,0.0448841698841698,0.1952220077220077,7614309.0
2022-09-30,6704000000.0,372000000.0,1824000000.0,NVDA,semiconductor,0.055489260143198,0.2720763723150358,7632395.0
2022-12-31,5931000000.0,372000000.0,1945000000.0,NVDA,semiconductor,0.0627212948912493,0.3279379531276344,7752262.0
2023-03-31,5931000000.0,372000000.0,1945000000.0,NVDA,semiconductor,0.0627212948912493,0.3279379531276344,7784844.0
2023-06-30,7192000000.0,372000000.0,1875000000.0,NVDA,semiconductor,0.0517241379310344,0.260706340378198,7888962.0
2023-09-30,13507000000.0,372000000.0,2040000000.0,NVDA,semiconductor,0.0275412748944991,0.1510327978085437,8038434.0
2023-12-31,18120000000.0,372000000.0,2294000000.0,NVDA,semiconductor,0.0205298013245033,0.1266004415011037,8127426.0
2024-03-31,18120000000.0,372000000.0,2294000000.0,NVDA,semiconductor,0.0205298013245033,0.1266004415011037,8157174.0
2024-06-30,26044000000.0,372000000.0,2720000000.0,NVDA,semiconductor,0.0142835201965903,0.1044386422976501,8334592.0
2024-09-30,56084000000.0,372000000.0,5810000000.0,NVDA,semiconductor,0.0066329077811853,0.1035946080878682,8434011.0
2024-12-31,35082000000.0,372000000.0,3390000000.0,NVDA,semiconductor,0.0106037284077304,0.0966307508123824,8441732.0
2025-03-31,35082000000.0,372000000.0,3390000000.0,NVDA,semiconductor,0.0106037284077304,0.0966307508123824,8734013.0
2025-06-30,44062000000.0,372000000.0,3989000000.0,NVDA,semiconductor,0.0084426489945985,0.0905315237619717,8578704.0
2025-09-30,90805000000.0,372000000.0,8280000000.0,NVDA,semiconductor,0.0040966907108639,0.091184406145036,8660814.0
2025-12-31,57006000000.0,372000000.0,4705000000.0,NVDA,semiconductor,0.0065256288811704,0.0825351717363084,
2009-06-30,,196000000.0,425000000.0,AMD,semiconductor,,,3450455.0
2009-09-30,,293000000.0,420000000.0,AMD,semiconductor,,,3464828.0
2009-12-31,,293000000.0,420000000.0,AMD,semiconductor,,,3597534.0
2010-03-31,,48000000.0,323000000.0,AMD,semiconductor,,,3623996.0
2010-06-30,,79000000.0,371000000.0,AMD,semiconductor,,,3770764.0
2010-09-30,,110000000.0,1053000000.0,AMD,semiconductor,,,3867806.0
2010-12-31,,110000000.0,1053000000.0,AMD,semiconductor,,,3892007.0
2011-03-31,,110000000.0,1053000000.0,AMD,semiconductor,,,3861338.0
2011-06-30,,38000000.0,367000000.0,AMD,semiconductor,,,3944963.0
